,LAENGE_LAENGSTES_WORT,ID
13068,13,1764871
13069,13,1764871
13070,13,1764871
13071,13,1764871
13072,13,1764871
13073,14,7402
13074,14,7402
13075,14,7402
13076,14,7402
13077,14,7402
13078,14,7402
13079,14,7402
13080,14,7402
13081,14,7402
13082,14,7402
13083,14,7402
13084,14,7402
13085,14,7402
13086,14,7402
13087,14,7402
13088,14,7402
13089,14,7402
13090,14,7402
13091,14,7402
13092,9,498670
13093,9,498670
13094,9,498670
13095,9,498670
13096,9,498670
13097,9,498670
13098,9,498670
13099,12,21008
13100,12,21008
13101,12,21008
13102,12,21008
13103,11,23709
13104,11,23709
13105,11,23709
13106,11,23709
13107,11,23709
13108,12,1723271
13109,12,1723271
13110,16,1766190
13111,15,69689
13112,15,69689
13113,18,908252
13114,20,1098978
13115,13,1025874
13116,13,1025874
13117,13,1025874
13118,13,1025874
13119,13,1025874
13120,13,1025874
13121,13,1025874
13122,13,1025874
13123,13,1025874
13124,13,1025874
13125,13,1025874
13126,13,1025874
13127,13,1025874
13128,13,1025874
13129,13,1025874
13130,13,1025874
13131,13,1025874
13132,13,1025874
13133,13,1025874
13134,13,1025874
13135,13,1025874
13136,11,6272
13137,11,6272
13138,11,6272
13139,11,6272
13140,11,6272
13141,11,6272
13142,11,6272
13143,19,1716971
13144,11,1750451
13145,11,1750451
13146,11,1750451
13147,11,1750451
13148,16,1746710
13149,13,3676
13150,13,3676
13151,13,3676
13152,13,3676
13153,13,3676
13154,13,3676
13155,13,3676
13156,13,3676
13157,13,3676
13158,13,3676
13159,13,3676
13160,13,3676
13161,13,3676
13162,13,3676
13163,17,31375
13164,17,31375
13165,17,31375
13166,17,31375
13167,17,31375
13168,17,31375
13169,12,348984
13170,15,108710
13171,15,108710
13172,15,108710
13173,15,108710
13174,17,54916
13175,17,54916
13176,17,54916
13177,17,54916
13178,17,54916
13179,17,54916
13180,13,3145
13181,13,3145
13182,13,3145
13183,13,3145
13184,13,3145
13185,13,3145
13186,13,3145
13187,13,3145
13188,13,3145
13189,11,4875
13190,11,4875
13191,11,4875
13192,11,4875
13193,11,4875
13194,11,4875
13195,11,4875
13196,11,4875
13197,16,8962
13198,16,8962
13199,16,8962
13200,16,8962
13201,16,8962
13202,16,8962
13203,16,8962
13204,16,8962
13205,16,8962
13206,16,8962
13207,16,8962
13208,16,8962
13209,14,716578
13210,14,716578
13211,15,3881
13212,15,3881
13213,15,3881
13214,15,3881
13215,15,3881
13216,15,3881
13217,15,3881
13218,15,3881
13219,15,3881
13220,15,3881
13221,15,3881
