,ID,Number_of_Stopwords,Stopword_Percentage
19714,1948623,27,0.0011861875054916089
19715,1932538,68,0.0029874351990159037
19716,1932538,68,0.0029874351990159037
19717,1932538,68,0.0029874351990159037
19718,1932538,68,0.0029874351990159037
19719,1932538,68,0.0029874351990159037
19720,1932538,68,0.0029874351990159037
19721,1934985,48,0.002108777787540638
19722,1934985,48,0.002108777787540638
19723,1935427,39,0.0017133819523767683
19724,1935427,39,0.0017133819523767683
19725,1935427,39,0.0017133819523767683
19726,1935427,39,0.0017133819523767683
19727,1777813,47,0.0020648449169668745
19728,1777813,47,0.0020648449169668745
19729,1777813,47,0.0020648449169668745
19730,1777813,47,0.0020648449169668745
19731,1777813,47,0.0020648449169668745
19732,1777813,47,0.0020648449169668745
19733,1777813,47,0.0020648449169668745
19734,1777813,47,0.0020648449169668745
19735,1777813,47,0.0020648449169668745
19736,1777813,47,0.0020648449169668745
19737,1777813,47,0.0020648449169668745
19738,1790114,38,0.001669449081803005
19739,1790114,38,0.001669449081803005
19740,1819092,57,0.0025041736227045075
19741,1819092,57,0.0025041736227045075
19742,1819092,57,0.0025041736227045075
19743,1819092,57,0.0025041736227045075
19744,1819092,57,0.0025041736227045075
19745,1819092,57,0.0025041736227045075
19746,1819092,57,0.0025041736227045075
19747,1819092,57,0.0025041736227045075
19748,1819092,57,0.0025041736227045075
19749,1819092,57,0.0025041736227045075
19750,1819092,57,0.0025041736227045075
19751,1819092,57,0.0025041736227045075
19752,1819092,57,0.0025041736227045075
19753,1819092,57,0.0025041736227045075
19754,1819092,57,0.0025041736227045075
19755,1819092,57,0.0025041736227045075
19756,1819092,57,0.0025041736227045075
19757,1819092,57,0.0025041736227045075
19758,1819092,57,0.0025041736227045075
19759,1819092,57,0.0025041736227045075
19760,1940313,54,0.0023723750109832177
19761,1940313,54,0.0023723750109832177
19762,1940313,54,0.0023723750109832177
19763,1940313,54,0.0023723750109832177
19764,1940313,54,0.0023723750109832177
19765,1940313,54,0.0023723750109832177
19766,1937517,40,0.0017573148229505316
19767,1937517,40,0.0017573148229505316
19768,1937517,40,0.0017573148229505316
19769,1937769,58,0.0025481064932782707
19770,1940314,44,0.0019330463052455848
19771,1941573,53,0.0023284421404094545
19772,1941573,53,0.0023284421404094545
19773,1941573,53,0.0023284421404094545
19774,1941573,53,0.0023284421404094545
19775,1941573,53,0.0023284421404094545
19776,1941573,53,0.0023284421404094545
19777,1941573,53,0.0023284421404094545
19778,1941573,53,0.0023284421404094545
19779,1941573,53,0.0023284421404094545
19780,1941573,53,0.0023284421404094545
19781,1941573,53,0.0023284421404094545
19782,1941573,53,0.0023284421404094545
19783,1941573,53,0.0023284421404094545
19784,1937512,42,0.001845180564098058
19785,1943653,51,0.002240576399261928
19786,1943653,51,0.002240576399261928
19787,1943653,51,0.002240576399261928
19788,1943653,51,0.002240576399261928
19789,1943653,51,0.002240576399261928
19790,1943653,51,0.002240576399261928
19791,1943653,51,0.002240576399261928
19792,1943653,51,0.002240576399261928
19793,1943360,56,0.0024602407521307442
19794,1943360,56,0.0024602407521307442
19795,1943360,56,0.0024602407521307442
19796,1943734,82,0.0036024953870485896
19797,1943665,53,0.0023284421404094545
19798,1946587,53,0.0023284421404094545
19799,1946587,53,0.0023284421404094545
19800,1946587,53,0.0023284421404094545
19801,1946587,53,0.0023284421404094545
19802,1946587,53,0.0023284421404094545
19803,1946371,56,0.0024602407521307442
19804,1950168,56,0.0024602407521307442
19805,1950168,56,0.0024602407521307442
19806,1950168,56,0.0024602407521307442
19807,1950168,56,0.0024602407521307442
19808,1950168,56,0.0024602407521307442
19809,1950168,56,0.0024602407521307442
19810,1950168,56,0.0024602407521307442
19811,1950168,56,0.0024602407521307442
19812,1948969,38,0.001669449081803005
19813,1949683,62,0.002723837975573324
19814,1951740,62,0.002723837975573324
19815,1951740,62,0.002723837975573324
19816,1951740,62,0.002723837975573324
19817,1951740,62,0.002723837975573324
19818,1951692,33,0.0014497847289341886
19819,1951692,33,0.0014497847289341886
19820,1953259,54,0.0023723750109832177
19821,1953259,54,0.0023723750109832177
19822,1953259,54,0.0023723750109832177
19823,1953097,46,0.0020209120463931113
19824,1953097,46,0.0020209120463931113
19825,1953097,46,0.0020209120463931113
19826,1953097,46,0.0020209120463931113
19827,1952193,40,0.0017573148229505316
19828,1952193,40,0.0017573148229505316
19829,1951815,29,0.0012740532466391354
19830,1951815,29,0.0012740532466391354
19831,1951815,29,0.0012740532466391354
19832,1951800,53,0.0023284421404094545
19833,1955854,56,0.0024602407521307442
19834,1955854,56,0.0024602407521307442
19835,1955854,56,0.0024602407521307442
19836,1955854,56,0.0024602407521307442
19837,1955854,56,0.0024602407521307442
19838,1959002,70,0.00307530094016343
19839,1959002,70,0.00307530094016343
19840,1959002,70,0.00307530094016343
19841,1959002,70,0.00307530094016343
19842,1959002,70,0.00307530094016343
