LIED_ID,POSITION,DATUM_VON,DATUM_BIS
3417,5,1997-03-31,1997-04-06
3338,35,1997-03-31,1997-04-06
3417,1,1997-05-05,1997-05-11
3403,3,1997-05-05,1997-05-11
3456,7,1997-05-05,1997-05-11
3429,10,1997-05-05,1997-05-11
3410,36,1997-05-12,1997-05-18
3403,21,1997-06-02,1997-06-08
3477,21,1997-06-16,1997-06-22
3417,35,1997-07-07,1997-07-13
3479,9,1997-07-14,1997-07-20
7088,26,1997-08-18,1997-08-24
7088,25,1997-09-08,1997-09-14
3499,45,1997-09-29,1997-10-05
148060,36,1997-10-06,1997-10-12
3546,9,1997-10-13,1997-10-19
3497,49,1997-11-03,1997-11-09
7381,49,1997-11-10,1997-11-16
3548,6,1997-11-24,1997-11-30
3561,15,1997-12-15,1997-12-21
10495,31,1997-12-22,1998-01-04
8021,50,1997-12-22,1998-01-04
7088,25,1998-01-12,1998-01-18
3561,35,1998-01-12,1998-01-18
8021,48,1998-01-12,1998-01-18
3561,49,1998-01-19,1998-01-25
7088,16,1998-02-02,1998-02-08
3656,49,1998-03-09,1998-03-15
3624,44,1998-03-30,1998-04-05
3676,24,1998-04-13,1998-04-19
3641,2,1998-05-18,1998-05-24
3676,17,1998-05-18,1998-05-24
7088,28,1998-05-18,1998-05-24
43150,35,1998-05-25,1998-05-31
3657,1,1998-06-08,1998-06-14
1442782,27,1998-07-06,1998-07-12
1442782,39,1998-07-20,1998-07-26
3657,11,1998-07-27,1998-08-02
3748,5,1998-09-14,1998-09-20
8352,13,1998-09-14,1998-09-20
3748,7,1998-09-21,1998-09-27
14903,24,1998-09-21,1998-09-27
7267,19,1998-09-28,1998-10-04
3769,44,1998-09-28,1998-10-04
128470,45,1998-09-28,1998-10-04
3734,23,1998-11-23,1998-11-29
3770,2,1998-11-30,1998-12-06
10263,16,1998-11-30,1998-12-06
8352,21,1998-12-14,1998-12-20
3839,33,1998-12-21,1998-12-27
3826,33,1998-12-28,1999-01-10
3826,33,1999-01-18,1999-01-24
3833,2,1999-02-01,1999-02-07
10263,47,1999-02-08,1999-02-14
3842,38,1999-02-15,1999-02-21
3866,14,1999-03-15,1999-03-21
3870,19,1999-04-12,1999-04-18
3897,24,1999-04-12,1999-04-18
3840,43,1999-04-12,1999-04-18
25584,46,1999-04-12,1999-04-18
3870,33,1999-04-26,1999-05-02
3901,46,1999-04-26,1999-05-02
3866,11,1999-05-10,1999-05-16
85960,46,1999-05-17,1999-05-23
3926,46,1999-05-24,1999-05-30
3880,9,1999-06-07,1999-06-13
54468,26,1999-07-26,1999-08-01
3980,12,1999-08-16,1999-08-22
3980,10,1999-09-20,1999-09-26
11911,27,1999-10-04,1999-10-10
3980,26,1999-10-18,1999-10-24
12009,42,1999-10-18,1999-10-24
4001,11,1999-10-25,1999-10-31
30608,16,1999-10-25,1999-10-31
3980,35,1999-11-01,1999-11-07
4001,16,1999-11-08,1999-11-14
30608,23,1999-11-08,1999-11-14
4057,7,1999-11-22,1999-11-28
179426,42,1999-11-22,1999-11-28
4057,4,1999-11-29,1999-12-05
4048,5,1999-11-29,1999-12-05
4035,8,1999-11-29,1999-12-05
4024,2,1999-12-06,1999-12-12
